Ace Well ID, Lease Name, Well Number, Orignal 'Well Name', API Number, Seneca Well ID
0,No match,,22A 21 P&A,04019020600000,7032
0,No match,,22A 22 P&A,04019020610000,7033
0,No match,,22A 22 P&A,04019003030000,7055
0,No match,,22A 23,04019020620000,7034
0,No match,,22A 24 P&A,04019020630000,7035
0,No match,,22A 24 P&A,04019003040000,7056
1296,Coalinga,22A 25,22A 25,04019003050000,7057
0,No match,,22A 25 P&A,04019020640000,7036
1297,Coalinga,22A 26,22A 26,04019207860000,7675
0,No match,,22A 27 P&A,04019210410000,7683
0,No match,,22A 27 P&A,04019020660000,7037
0,No match,,22A 29,04019020680000,7038
0,No match,,22A 3 P&A,04019037760000,7784
0,No match,,22A 3 P&A,04019002840000,7042
0,No match,,22A 30,04019020690000,7039
0,No match,,22A 31,04019020700000,7040
0,No match,,22A 32,04019020710000,7587
0,No match,,22A 33,04019020720000,7588
0,No match,,22A 34,04019020730000,7589
0,No match,,22A 35,04019020740000,7590
0,No match,,22A 36,04019020750000,7591
0,No match,,22A 4,04019020430000,7025
0,No match,,22A 5 P&A,04019037850000,7787
0,No match,,22A 5 P&A,04019037860000,7788
0,No match,,22A 5-3,04019020770000,7592
0,No match,,22A 6 P&A,04019002870000,7043
0,No match,,22A 6 P&A,04019037870000,7789
0,No match,,22A 6-2,04019020780000,7593
0,No match,,22A 7 P&A,04019002880000,7044
0,No match,,22A 7 P&A,04019037880000,7790
0,No match,,22A 7 P&A,04019037800000,7785
0,No match,,22A 8 P&A,04019037890000,7791
0,No match,,22A 8 P&A,04019020470000,7026
0,No match,,22A 9 P&A,04019037900000,7792
1298,Coalinga,22A 9A,22A 9A,04019231790000,7699
0,No match,,23,04029053830000,87
0,No match,,231,04029416860000,630
0,No match,,234,04029054710000,631
0,No match,,235,04029054720000,632
0,No match,,237,04029054730000,633
0,No match,,239,04029038030000,282
0,No match,,23A 501,04019254750000,8084
0,No match,,24,04029053840000,291
0,No match,,242,04029457860000,86
0,No match,,245,04029054740000,634
0,No match,,25,04029053850000,567
0,No match,,256,04029014460000,236
0,No match,,256A,04029054750000,636
2215,15a,256AR,256AR,04030212450000,319
0,No match,,25A 2,04019020990000,7594
0,No match,,25A 23,04019021090000,7604
0,No match,,25A 24,04019021100000,7605
0,No match,,25A 25,04019021110000,7606
0,No match,,25A 26,04019021120000,7607
0,No match,,25A 27,04019021130000,7608
0,No match,,25A 28,04019021140000,7609
0,No match,,25A 3 P&A,04019021000000,7595
0,No match,,25A 3 P&A,04019021010000,7596
0,No match,,25A 37,04019021160000,7610
0,No match,,25A 38,04019021170000,7611
0,No match,,25A 4 P&A,04019021020000,7597
0,No match,,25A 4 P&A,04019021030000,7598
0,No match,,25A 5 P&A,04019021050000,7600
0,No match,,25A 5 P&A,04019021040000,7599
0,No match,,25A 6,04019021060000,7601
0,No match,,25A 7,04019021070000,7602
0,No match,,25A 8,04019021080000,7603
0,No match,,26,04029053860000,568
0,No match,,260,04029459000000,635
0,No match,,27,04029053870000,569
0,No match,,28,04029053880000,570
0,No match,,289,04029843360000,326
1299,Coalinga,28A 1,28A 1,04019021200000,7612
1300,Coalinga,28A 1-10,28A 1-10,04019225360000,7692
0,No match,,28A 1-4R P&A,04019021210000,7613
0,No match,,28A 1-9,04019021220000,7614
0,No match,,28A 10,04019021720000,7658
0,No match,,28A 10-11,04019021770000,7663
1301,Coalinga,28A 10-5,28A 10-5,04019021730000,7659
1302,Coalinga,28A 10-6,28A 10-6,04019021740000,7660
0,No match,,28A 10-8,04019021750000,7661
1303,Coalinga,28A 10-9,28A 10-9,04019021760000,7662
0,No match,,28A 100,04019022630000,7494
6541,28A,101,28A 101,04019256950000,8601
0,No match,,28A 101 (P&A),04019022640000,7495
0,No match,,28A 1012,04019021780000,7664
6815,28A,102,28A 102,04019256960000,8602
0,No match,,28A 102 (P&A),04019022650000,7496
1305,Coalinga,28A 103,28A 103,04019022660000,7497
1306,Coalinga,28A 104,28A 104,04019022670000,7498
0,No match,,28A 105,04019022680000,7499
0,No match,,28A 106,04019022690000,7500
0,No match,,28A 107,04019022700000,7501
0,No match,,28A 108,04019022710000,7502
0,No match,,28A 109,04019022720000,7503
1307,Coalinga,28A 11,28A 11,04019021790000,7431
0,No match,,28A 110,04019022730000,7504
0,No match,,28A 111,04019022740000,7505
1308,Coalinga,28A 114,28A 114,04019022750000,7506
1309,Coalinga,28A 115,28A 115,04019022760000,7507
0,No match,,28A 116,04019022770000,7508
0,No match,,28A 117,04019022780000,7353
1310,Coalinga,28A 124,28A 124,04019022790000,7354
0,No match,,28A 125,04019022800000,7355
0,No match,,28A 13,04019021810000,7432
0,No match,,28A 134,04019022810000,7356
0,No match,,28A 135 P&A,04019022820000,7357
0,No match,,28A 136,04019022830000,7358
1311,Coalinga,28A 14,28A 14,04019021820000,7433
0,No match,,28A 142,04019022840000,7359
1312,Coalinga,28A 145,28A 145,04019022850000,7360
1313,Coalinga,28A 146,28A 146,04019022860000,7361
0,No match,,28A 147,04019022870000,7362
0,No match,,28A 148,04019022880000,7363
0,No match,,28A 15,04019021830000,7434
0,No match,,28A 152 P&A,04019022890000,7364
1315,Coalinga,28A 153,28A 153,04019022900000,7365
1316,Coalinga,28A 156,28A 156,04019022910000,7366
1317,Coalinga,28A 157,28A 157,04019022920000,7367
0,No match,,28A 158,04019022930000,7368
1318,Coalinga,28A 16,28A 16,04019021840000,7435
0,No match,,28A 161,04019022940000,7369
0,No match,,28A 169,04019022950000,7370
0,No match,,28A 17 P&A,04019021850000,7436
0,No match,,28A 170,04019022960000,7371
1319,Coalinga,28A 171,28A 171,04019022970000,7372
1320,Coalinga,28A 172,28A 172,04019022980000,7373
0,No match,,28A 175,04019022990000,7374
0,No match,,28A 176 P&A,04019023000000,7375
1321,Coalinga,28A 177,28A 177,04019023010000,7376
1322,Coalinga,28A 178,28A 178,04019023020000,7377
1323,Coalinga,28A 179,28A 179,04019023030000,7378
0,No match,,28A 18,04019021860000,7437
1324,Coalinga,28A 180,28A 180,04019023040000,7379
0,No match,,28A 181,04019023050000,7380
1325,Coalinga,28A 182,28A 182,04019023060000,7381
1326,Coalinga,28A 183,28A 183,04019023070000,7382
1327,Coalinga,28A 184,28A 184,04019023080000,7383
0,No match,,28A 185,04019023090000,7384
0,No match,,28A 186,04019023100000,7385
0,No match,,28A 187,04019023110000,7386
0,No match,,28A 188,04019023120000,7387
0,No match,,28A 189,04019023130000,7388
0,No match,,28A 19,04019021870000,7438
0,No match,,28A 190,04019023140000,7389
0,No match,,28A 191,04019023150000,7390
0,No match,,28A 192,04019023160000,7391
0,No match,,28A 193,04019023170000,7392
1328,Coalinga,28A 194,28A 194,04019023180000,7393
1329,Coalinga,28A 195,28A 195,04019023190000,7394
0,No match,,28A 196,04019023200000,7395
0,No match,,28A 197,04019023210000,7396
1330,Coalinga,28A 198,28A 198,04019023220000,7397
1331,Coalinga,28A 199,28A 199,04019023230000,7398
0,No match,,28A 1CH,04019208410000,8610
0,No match,,28A 2-10,04019021280000,7619
0,No match,,28A 2-12,04019000580000,7041
0,No match,,28A 2-4,04019021240000,7615
0,No match,,28A 2-5,04019205010000,7810
1332,Coalinga,28A 2-6,28A 2-6,04019204240000,7804
0,No match,,28A 2-6A,04019220700000,7688
0,No match,,28A 2-7,04019021250000,7616
0,No match,,28A 2-8,04019021260000,7617
0,No match,,28A 2-9,04019021270000,7618
1333,Coalinga,28A 20,28A 20,04019021880000,7439
6286,28A,201,28A 201,04019254340000,8173
4041,Coalinga,28A 202,28A 202,04019254350000,8174
0,No match,,28A 207,04019205170000,7811
0,No match,,28A 21,04019021890000,7440
0,No match,,28A 2106,04019023360000,7410
0,No match,,28A 2107,04019023370000,7411
0,No match,,28A 2109 P&A,04019023380000,7412
0,No match,,28A 2117,04019023390000,7413
1334,Coalinga,28A 2135,28A 2135,04019023400000,7414
1335,Coalinga,28A 2157,28A 2157,04019023410000,7415
0,No match,,28A 2192,04019205870000,7667
1336,Coalinga,28A 22,28A 22,04019021900000,7441
1337,Coalinga,28A 222,28A 222,04019023240000,7399
1338,Coalinga,28A 225,28A 225,04019023250000,7400
0,No match,,28A 228,04019023260000,7401
1339,Coalinga,28A 239,28A 239,04019205850000,7665
0,No match,,28A 24,04019021920000,7442
0,No match,,28A 249,04019201300000,7800
1340,Coalinga,28A 251,28A 251,04019023270000,7402
1341,Coalinga,28A 258,28A 258,04019023280000,7403
1342,Coalinga,28A 265,28A 265,04019205860000,7666
1343,Coalinga,28A 268,28A 268,04019023300000,7405
0,No match,,28A 27,04019021950000,7443
0,No match,,28A 274,04019023310000,7406
0,No match,,28A 277 P&A,04019201310000,7801
0,No match,,28A 283 P&A,04019023320000,7407
0,No match,,28A 292,04019023330000,7408
0,No match,,28A 295,04019023340000,7409
0,No match,,28A 3-5,04019021320000,7621
0,No match,,28A 3-6R P&A,04019204250000,7805
0,No match,,28A 3-7,04019021330000,7622
1344,Coalinga,28A 3-7A,28A 3-7A,04019021340000,7623
1345,Coalinga,28A 3-7B,28A 3-7B,04019206670000,7671
0,No match,,28A 3-8,04019220710000,7689
1346,Coalinga,28A 3-9,28A 3-9,04019021350000,7624
1347,Coalinga,28A 3-9A,28A 3-9A,04019021360000,7625
0,No match,,28A 30,04019021980000,7444
0,No match,,28A 31,04019021990000,7445
0,No match,,28A 32,04019022000000,7446
0,No match,,28A 33,04019022010000,7447
0,No match,,28A 34,04019022020000,7448
0,No match,,28A 35,04019022030000,7449
0,No match,,28A 37,04019022050000,7450
0,No match,,28A 38,04019022060000,7451
0,No match,,28A 39,04019022070000,7452
0,No match,,28A 4-10,04019021420000,7630
1348,Coalinga,28A 4-12,28A 4-12,04019021430000,7631
0,No match,,28A 4-5,04019021380000,7626
1349,Coalinga,28A 4-6,28A 4-6,04019021390000,7627
0,No match,,28A 4-7,04019021400000,7628
1350,Coalinga,28A 4-7A,28A 4-7A,04019233990000,7722
0,No match,,28A 4-7I P&A,04019234180000,7731
1351,Coalinga,28A 4-8,28A 4-8,04019021410000,7629
7003,28A,4-8R,28A 4-8R,04019258570000,8676
0,No match,,28A 40 P&A,04019022080000,7453
0,No match,,28A 41,04019022090000,7454
0,No match,,28A 417,04019244460000,7733
0,No match,,28A 42,04019022100000,7455
1352,Coalinga,28A 421,28A 421,04019244470000,7734
0,No match,,28A 43,04019022110000,7456
0,No match,,28A 44,04019022120000,7457
0,No match,,28A 45,04019022130000,7458
0,No match,,28A 46,04019022140000,7459
0,No match,,28A 47,04019022150000,7460
0,No match,,28A 48,04019022160000,7461
0,No match,,28A 49,04019022170000,7462
0,No match,,28A 5,04019021440000,7632
1353,Coalinga,28A 5-3,28A 5-3,04019021450000,7633
1354,Coalinga,28A 5-6,28A 5-6,04019021460000,7634
0,No match,,28A 5-6I,04019233880000,7721
0,No match,,28A 5-6IX,04019234050000,7726
1355,Coalinga,28A 5-7,28A 5-7,04019201150000,7795
0,No match,,28A 5-7I,04019234060000,7727
1356,Coalinga,28A 50,28A 50,04019022180000,7463
0,No match,,28A 51,04019022190000,7464
0,No match,,28A 52,04019022200000,7465
0,No match,,28A 53,04019022210000,7466
0,No match,,28A 54,04019022220000,7467
1357,Coalinga,28A 55,28A 55,04019022230000,7468
1358,Coalinga,28A 56,28A 56,04019022240000,7469
0,No match,,28A 57,04019022250000,7470
0,No match,,28A 58,04019022260000,7471
1359,Coalinga,28A 59,28A 59,04019022270000,7472
0,No match,,28A 6,04019021470000,7635
1360,Coalinga,28A 6-2,28A 6-2,04019021480000,7636
0,No match,,28A 6-4 P&A,04019021490000,7637
1361,Coalinga,28A 6-6,28A 6-6,04019234000000,7723
0,No match,,28A 6-6I,04019234070000,7728
0,No match,,28A 6-7,04019021500000,7638
1362,Coalinga,28A 6-7A,28A 6-7A,04019234020000,7724
0,No match,,28A 6-7I,04019234080000,7729
1363,Coalinga,28A 6-8,28A 6-8,04019021290000,7620
0,No match,,28A 60,04019022280000,7473
1364,Coalinga,28A 61,28A 61,04019022290000,7474
0,No match,,28A 62 P&A,04019022300000,7475
1365,Coalinga,28A 63,28A 63,04019022310000,7476
0,No match,,28A 67,04019022350000,7477
0,No match,,28A 68,04019022360000,7478
1366,Coalinga,28A 7-2,28A 7-2,04019021520000,7639
1367,Coalinga,28A 7-4,28A 7-4,04019021530000,7640
0,No match,,28A 7-6IL,04019234090000,7730
1368,Coalinga,28A 7-7,28A 7-7,04019021540000,7641
0,No match,,28A 7-7A,04019213770000,7687
1369,Coalinga,28A 7-7B,28A 7-7B,04019234040000,7725
1370,Coalinga,28A 7-8,28A 7-8,04019021550000,7642
