Skip,Ace Well ID,Ace Well Number,Ace Lease Name,Seneca Well Name, API Number, Seneca Well ID
0,0,,,1C 85,04019029760000,7182
0,0,,,1C 87,04019029770000,7183
0,0,,,1C 88,04019029780000,7184
0,0,,,1C 89,04019029790000,7185
0,0,,,1C 91,04019029800000,7186
0,0,,,1C 92,04019029810000,7187
0,0,,,20,04029053800000,565
0,0,,,205,04029456110000,627
0,0,,,209,04029054660000,628
0,0,,,21,04029053810000,108
0,0,,,211,04029054670000,451
0,0,,,213,04029054680000,294
0,0,,,216,04029054690000,244
0,0,,,220,04029457840000,92
0,0,,,224,04029457850000,430
0,0,,,228,04029054700000,486
0,0,,,22A 1 P&A,04019233020000,7705
0,0,,,22A 1 P&A,04019037820000,7786
0,0,,,22A 1 P&A,04019037740000,7783
0,0,,,22A 1-3,04019233030000,7706
0,0,,,22A 10 P&A,04019002910000,7045
0,0,,,22A 10 P&A,04019037910000,7793
0,0,,,22A 11,04019020500000,7027
0,0,,,22A 12,04019020510000,7028
0,0,,,22A 13,04019002940000,7046
0,0,,,22A 14,04019002950000,7047
0,0,,,22A 15,04019002960000,7048
0,0,,,22A 16,04019002970000,7049
0,0,,,22A 17,04019002980000,7050
0,0,,,22A 17 P&A,04019020560000,7029
0,0,,,22A 18 P&A,04019020570000,7030
0,0,,,22A 18 P&A,04019002990000,7051
0,0,,,22A 18A,04019231780000,7698
0,0,,,22A 19,04019003000000,7052
0,0,,,22A 2,04019020410000,7024
0,0,,,22A 2-1,04019233040000,7707
0,0,,,22A 20 P&A,04019020590000,7031
0,0,,,22A 20 P&A,04019003010000,7053
0,0,,,22A 201,04019254330000,8086
0,0,,,22A 202,04019256230000,8604
0,0,,,22A 203,04019256220000,8605
0,0,,,22A 204,04019258540000,8674
0,0,,,22A 205,04019258530000,8675
0,0,,,22A 21 P&A,04019003020000,7054
0,0,,,22A 21 P&A,04019020600000,7032
0,0,,,22A 22 P&A,04019020610000,7033
0,0,,,22A 22 P&A,04019003030000,7055
0,0,,,22A 23,04019020620000,7034
0,0,,,22A 24 P&A,04019020630000,7035
0,0,,,22A 24 P&A,04019003040000,7056
0,0,,,22A 25,04019003050000,7057
0,0,,,22A 25 P&A,04019020640000,7036
0,0,,,22A 26,04019207860000,7675
0,0,,,22A 27 P&A,04019210410000,7683
0,0,,,22A 27 P&A,04019020660000,7037
0,0,,,22A 29,04019020680000,7038
0,0,,,22A 3 P&A,04019037760000,7784
0,0,,,22A 3 P&A,04019002840000,7042
0,0,,,22A 30,04019020690000,7039
0,0,,,22A 31,04019020700000,7040
0,0,,,22A 32,04019020710000,7587
0,0,,,22A 33,04019020720000,7588
0,0,,,22A 34,04019020730000,7589
0,0,,,22A 35,04019020740000,7590
0,0,,,22A 36,04019020750000,7591
0,0,,,22A 4,04019020430000,7025
0,0,,,22A 5 P&A,04019037850000,7787
0,0,,,22A 5 P&A,04019037860000,7788
0,0,,,22A 5-3,04019020770000,7592
0,0,,,22A 6 P&A,04019002870000,7043
0,0,,,22A 6 P&A,04019037870000,7789
0,0,,,22A 6-2,04019020780000,7593
0,0,,,22A 7 P&A,04019002880000,7044
0,0,,,22A 7 P&A,04019037880000,7790
0,0,,,22A 7 P&A,04019037800000,7785
0,0,,,22A 8 P&A,04019037890000,7791
0,0,,,22A 8 P&A,04019020470000,7026
0,0,,,22A 9 P&A,04019037900000,7792
0,0,,,22A 9A,04019231790000,7699
0,0,,,23,04029053830000,87
0,0,,,231,04029416860000,630
0,0,,,234,04029054710000,631
0,0,,,235,04029054720000,632
0,0,,,237,04029054730000,633
0,0,,,239,04029038030000,282
0,0,,,23A 501,04019254750000,8084
0,0,,,24,04029053840000,291
0,0,,,242,04029457860000,86
0,0,,,245,04029054740000,634
0,0,,,25,04029053850000,567
0,0,,,256,04029014460000,236
0,0,,,256A,04029054750000,636
0,0,,,256AR,04030212450000,319
0,0,,,25A 2,04019020990000,7594
0,0,,,25A 23,04019021090000,7604
0,0,,,25A 24,04019021100000,7605
0,0,,,25A 25,04019021110000,7606
0,0,,,25A 26,04019021120000,7607
0,0,,,25A 27,04019021130000,7608
0,0,,,25A 28,04019021140000,7609
0,0,,,25A 3 P&A,04019021000000,7595
0,0,,,25A 3 P&A,04019021010000,7596
0,0,,,25A 37,04019021160000,7610
0,0,,,25A 38,04019021170000,7611
0,0,,,25A 4 P&A,04019021020000,7597
0,0,,,25A 4 P&A,04019021030000,7598
0,0,,,25A 5 P&A,04019021050000,7600
0,0,,,25A 5 P&A,04019021040000,7599
0,0,,,25A 6,04019021060000,7601
0,0,,,25A 7,04019021070000,7602
0,0,,,25A 8,04019021080000,7603
0,0,,,26,04029053860000,568
0,0,,,260,04029459000000,635
0,0,,,27,04029053870000,569
0,0,,,28,04029053880000,570
0,0,,,289,04029843360000,326
0,0,,,28A 1,04019021200000,7612
0,0,,,28A 1-10,04019225360000,7692
0,0,,,28A 1-4R P&A,04019021210000,7613
0,0,,,28A 1-9,04019021220000,7614
0,0,,,28A 10,04019021720000,7658
0,0,,,28A 10-11,04019021770000,7663
0,0,,,28A 10-5,04019021730000,7659
0,0,,,28A 10-6,04019021740000,7660
0,0,,,28A 10-8,04019021750000,7661
0,0,,,28A 10-9,04019021760000,7662
0,0,,,28A 100,04019022630000,7494
0,0,,,28A 101,04019256950000,8601
0,0,,,28A 101 (P&A),04019022640000,7495
0,0,,,28A 1012,04019021780000,7664
0,0,,,28A 102,04019256960000,8602
0,0,,,28A 102 (P&A),04019022650000,7496
0,0,,,28A 103,04019022660000,7497
0,0,,,28A 104,04019022670000,7498
0,0,,,28A 105,04019022680000,7499
0,0,,,28A 106,04019022690000,7500
0,0,,,28A 107,04019022700000,7501
